"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-05","   80","  100",,,,"0.00","    6","0.0","0.0",,"38","17","   36",,,,,"  180",,,,,,"16.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-06","   40","   30",,,,"0.00","   85","0.0","0.0",,"50","20","  534",,,,,"   45",,,,,,"6.9",,,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-07","   30","   20",,,,"0.00","   91","0.0","0.0",,"49","21","  576",,,,,"   90",,,,,,"6.9",,,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-08","   90","  100",,,,"0.00","    1","0.0","0.0",,"48","23","    6",,,,,"  135",,,,,,"8.9","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-09","  100","  100",,,,"0.34","    3","0.0","0.0",,"50","34","   24",,,,,"  270",,,,,,"17.0","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-10","  100","   90",,,,"0.20","    5","0.0","0.0",,"50","36","   30",,,,,"  315",,,,,,"23.9","    1",,,,,,,,,,,,,"    1",,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-11","   10","   10",,,,"0.00","  100","0.0","0.0",,"51","32","  642",,,,,"  315",,,,,,"25.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-12","   20","   30",,,,"0.00","   93","0.0","0.0",,"47","29","  600",,,,,"  225",,,,,,"17.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-13","   30","   30",,,,"0.00","   66","0.0","0.0",,"48","28","  408",,,,,"  315",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-14","   80","  100",,,,"0.00","    0","0.0","0.0",,"33","25","    0",,,,,"   45",,,,,,"13.0",,,,"    1",,,,,,,,,,,,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-15","  100","  100",,,,"0.02","   20","0.0","0.0",,"54","23","  126",,,,,"  225",,,,,,"17.9","    1","    1",,,,"    1",,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-16","  100","  100",,,,"0.37","    0","0.0","0.0",,"52","27","    0",,,,,"   45",,,,,,"16.1","    1",,,,,"    1",,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-17","  100","  100",,,,"0.45","    0","0.0","0.0",,"32","28","    0",,,,,"  360",,,,,,"12.1","    1",,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-18","   20","   20",,,,"0.00","  100","0.0","0.0",,"54","26","  654",,,,,"  225",,,,,,"15.0","    1",,,,,"    1",,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-19","   10","   10",,,,"0.00","   96","0.0","0.0",,"66","29","  636",,,,,"  315",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-20","   10","   10",,,,"0.00","   98","0.0","0.0",,"44","19","  654",,,,,"  315",,,,,,"21.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-21","   10","   20",,,,"0.00","   98","0.0","0.0",,"45","13","  654",,,,,"  270",,,,,,"16.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-22","   50","   50",,,,"0.00","   97","0.0","0.0",,"63","22","  642",,,,,"  270",,,,,,"23.9",,,,,,,,,,,,,,,,,,,,
